"","pmc","pmid","doi","author1","title"
"1",4912774,27316467,"10.1186/s12885-016-2365-3","Govindarajan","A comparison of 12-gene colon cancer assay gene expression in African American and Caucasian patients with stage II colon cancer"
"2",4869924,27252846,"10.1086/685547","Bime","Reactive oxygen species–associated molecular signature predicts survival in patients with sepsis"
"3",4875762,27206491,"10.1186/s12861-016-0116-y","Clarkson","Representation of anatomy in online atlases and databases: a survey and collection of patterns for interface design"
"4",4903105,27206678,"10.1007/s10549-016-3833-9","Orucevic","Utilization and impact of 21-gene recurrence score assay for breast cancer in clinical practice across the United States: lessons learned from the 2010 to 2012 National Cancer Data Base analysis"
"5",4820857,27044421,"10.1186/s12916-016-0613-7","Moschini","Incorporation of tissue-based genomic biomarkers into localized prostate cancer clinics"
"6",4827643,27134706,"10.4081/rt.2016.6050","Hu","Intracystic Papillary Carcinoma of the Breast in a Male Patient"
"7",4790538,27022301,"10.2147/BCTT.S88434","Koleck","Identification and prioritization of candidate genes for symptom variability in breast cancer survivors based on disease characteristics at the cellular level"
"8",4829400,27081583,"10.7759/cureus.522","Muacevic","Impact of Oncotype DX Recurrence Score on Treatment Decisions: Results of a Prospective Multicenter Study in Turkey"
"9",4780589,26985151,"10.3747/co.23.2861","Tang","Estimation of drug cost avoidance and pathology cost avoidance through participation in NCIC Clinical Trials Group phase III clinical trials in Canada"
"10",4781175,26867046,"10.3310/hta20100","Stein","OPTIMA prelim: a randomised feasibility study of personalised care in the treatment of women with early breast cancer."
"11",4884935,26848775,"10.18632/oncotarget.7120","Moreira-Filho","Modular transcriptional repertoire and MicroRNA target analyses characterize genomic dysregulation in the thymus of Down syndrome infants"
"12",4730993,26858530,"10.2147/PGPM.S56055","Myers","Targeted therapies with companion diagnostics in the management of breast cancer: current perspectives"
"13",4705527,26744183,"10.1038/srep18977","XU","Deciphering the streamlined genome of  <italic>Streptomyces xiamenensis</italic>  318 as the producer of the anti-fibrotic drug candidate xiamenmycin"
"14",4696739,26717565,"10.1371/journal.pone.0145346","Emmadi","Correlative Analysis of miRNA Expression and Onco <italic>type</italic>  Dx Recurrence Score in Estrogen Receptor Positive Breast Carcinomas"
"15",4689269,26719709,"10.2147/OTT.S95543","Jeong","Validation of a quantitative 12-multigene expression assay (Oncotype DX <sup>®</sup>  Colon Cancer Assay) in Korean patients with stage II colon cancer: implication of ethnic differences contributing to differences in gene expression"
"16",4673715,26664297,"10.1186/s12907-015-0021-5","Wang","Expression of a-Tocopherol-Associated protein (TAP) is associated with clinical outcome in breast cancer patients"
"17",4664698,26648852,"10.3389/fnbeh.2015.00299","Nizetic","Inter-Dependent Mechanisms Behind Cognitive Dysfunction, Vascular Biology and Alzheimer's Dementia in Down Syndrome: Multi-Faceted Roles of APP"
"18",4666888,26693110,"10.1186/s40064-015-1440-6","Jahn","Cost effectiveness of personalized treatment in women with early breast cancer: the application of OncotypeDX and Adjuvant! Online to guide adjuvant chemotherapy in Austria"
"19",4679789,26610382,"10.1007/s12325-015-0268-3","Swain","Quantitative Gene Expression by Recurrence Score in ER-Positive Breast Cancer, by Age"
"20",4679783,26610383,"10.1007/s12325-015-0269-2","Alvarado","A Prospective Comparison of the 21-Gene Recurrence Score and the PAM50-Based Prosigna in Estrogen Receptor-Positive Early-Stage Breast Cancer"
"21",4620010,26498662,"10.1186/s12885-015-1819-3","Need","The unique transcriptional response produced by concurrent estrogen and progesterone treatment in breast cancer cells results in upregulation of growth factor pathways and switching from a Luminal A to a Basal-like subtype"
"22",4589954,26429296,"10.1186/s13058-015-0643-7","Perez","The relationship between quantitative human epidermal growth factor receptor 2 gene expression by the 21-gene reverse transcriptase polymerase chain reaction assay and adjuvant trastuzumab benefit in Alliance N9831"
"23",4701034,26412349,"10.1056/NEJMoa1510764","Sparano","Prospective Validation of a 21-Gene Expression Assay in Breast Cancer"
"24",4573873,26375396,"10.1371/journal.pone.0138213","Yao","Identification of Gene-Expression Signatures and Protein Markers for Breast Cancer Grading and Staging"
"25",4741771,26396172,"","Kim","The NEXT-1 (Next generation pErsonalized tX with mulTi-omics and preclinical model) trial: prospective molecular screening trial of metastatic solid cancer patients, a feasibility analysis"
"26",4579811,26622810,"10.3892/ol.2015.3579","YERUSHALMI","Cell surface GRP78: A potential marker of good prognosis and response to chemotherapy in breast cancer"
"27",4552261,26237367,"10.1038/nn.4072","Witton","Hippocampal circuit dysfunction in the Tc1 mouse model of Down syndrome"
"28",4491104,26119102,"10.1007/s10549-015-3464-6","Rakovitch","A population-based validation study of the DCIS Score predicting recurrence risk in individuals treated by breast-conserving surgery alone"
"29",4472722,26086912,"10.1371/journal.pone.0128880","Katz","Economic Impact of Gene Expression Profiling in Patients with Early-Stage Breast Cancer in France"
"30",4455286,26042604,"10.1038/srep10979","Chang","Pathway-based gene signatures predicting clinical outcome of lung adenocarcinoma"
"31",4462529,26089718,"10.3747/co.22.2284","Baxter","Using proliferative markers and Oncotype DX in therapeutic decision-making for breast cancer: the B.C. experience"
"32",4511377,26029936,"10.12788/jcso.0135","Andreason","Treatment differences between urban and rural women with hormone receptor-positive early-stage breast cancer based on 21-gene assay recurrence score results"
"33",4847530,26072275,"10.1016/j.clbc.2015.04.006","Gage","A Validated Model for Identifying Patients Unlikely to Benefit From the 21-Gene Recurrence Score Assay"
"34",4784421,25850931,"10.1002/jmri.24890","Sutton","Breast Cancer Subtype Intertumor Heterogeneity: MRI-Based Features Predict Results of a Genomic Assay"
"35",4391758,25795632,"10.1634/theoncologist.2014-0198","Pivot","In the Era of Genomics, Should Tumor Size Be Reconsidered as a Criterion for Neoadjuvant Chemotherapy?"
"36",4381203,25789420,"10.3390/ph8010107","Frazier","A Retrospective Study of the Impact of 21-Gene Recurrence Score Assay on Treatment Choice in Node Positive Micrometastatic Breast Cancer"
"37",4318826,25674496,"10.1186/s40064-015-0840-y","Thaker","The 21-gene recurrence score complements IBTR! Estimates in early-stage, hormone receptor-positive, HER2-normal, lymph node-negative breast cancer"
"38",4307898,25848861,"10.1186/s13058-015-0514-2","Győrffy","Multigene prognostic tests in breast cancer: past, present, future"
"39",4286124,25169931,"10.1016/j.molonc.2014.07.019","Vollan","A tumor DNA complex aberration index is an independent predictor of survival in breast and ovarian cancer"
"40",4390838,25551681,"10.3390/life5010004","Gan","Occurrence of Far-Red Light Photoacclimation (FaRLiP) in Diverse Cyanobacteria"
"41",4712951,25479414,"10.1586/14737159.2015.983476","Issa","The value of multigene predictors of clinical outcome in breast cancer: an analysis of the evidence"
"42",4869872,25472643,"10.1245/s10434-014-4252-y","Jegadeesh","The 21-Gene Recurrence Score and Locoregional Recurrence in Breast Cancer Patients"
